Time,Alt,V-Speed,V-Acc,H-Speed,H-Acc,Fuel,Weight,Angle,A-Speed,A-Acc
 580s,10087.51,-92.61m/s,-0.40m/s², 509.35m/s,-2.55m/s²,81.46,246.46, 0.02°,0.02,0.022
 590s,9245.11,-73.54m/s, 2.17m/s², 483.68m/s,-2.58m/s²,79.24,244.24,-0.03°,-0.02,-0.023
 600s,8618.86,-51.67m/s, 2.20m/s², 457.78m/s,-2.60m/s²,77.02,242.02,-0.02°,-0.02,-0.023
 610s,8124.92,-47.88m/s, 2.22m/s², 431.64m/s,-2.62m/s²,74.8,239.8, 0.01°,0.02,0.024
 620s,7635.17,-49.28m/s,-0.40m/s², 405.26m/s,-2.65m/s²,72.58,237.58, 0.02°,0.02,0.024
 630s,7143.42,-47.99m/s, 2.27m/s², 378.63m/s,-2.67m/s²,70.36,235.36, 0.03°,0.02,0.025
 640s,6655.38,-49.35m/s,-0.40m/s², 351.75m/s,-2.70m/s²,68.14,233.14,-0.03°,-0.03,-0.025
 650s,6163.35,-47.96m/s, 2.32m/s², 324.61m/s,-2.73m/s²,65.92,230.92, 0.01°,0.02,0.025
 660s,5673.12,-49.26m/s,-0.40m/s², 297.21m/s,-2.75m/s²,63.7,228.7, 0.02°,0.02,0.026
 670s,5182.34,-47.77m/s, 2.37m/s², 269.54m/s,-2.78m/s²,61.48,226.48, 0.03°,0.03,0.027
 680s,4694.16,-49.02m/s,-0.40m/s², 241.60m/s,-2.81m/s²,59.26,224.26,-0.03°,-0.03,-0.027
 690s,4201.98,-50.26m/s,-0.41m/s², 213.38m/s,-2.83m/s²,57.04,222.04,-0.02°,-0.03,-0.028
 700s,3713.25,-48.61m/s,-0.41m/s², 184.88m/s,-2.86m/s²,54.82,219.82, 0.02°,0.03,0.028
 710s,3222.68,-49.79m/s,-0.41m/s², 156.09m/s,-2.89m/s²,52.6,217.6, 0.03°,0.03,0.029
 720s,2733.53,-48.03m/s,-0.41m/s², 127.00m/s,-2.92m/s²,50.38,215.38,-0.04°,-0.03,-0.029
 730s,2246.23,-49.14m/s,-0.41m/s²,  97.62m/s,-2.95m/s²,48.16,213.16,-0.02°,-0.03,-0.03
 740s,1753.82,-50.23m/s,-0.41m/s²,  67.92m/s,-2.98m/s²,45.94,210.94, 0.02°,0.03,0.031
 750s,1267.1,-48.29m/s,-0.41m/s²,  37.92m/s,-3.02m/s²,43.72,208.72, 0.04°,0.03,0.031
 760s,801.85,-37.15m/s, 2.64m/s²,   7.59m/s,-3.05m/s²,41.5,206.5,-0.04°,-0.03,-0.032
 770s,563.09,-10.55m/s, 2.67m/s²,  -1.58m/s, 0.00m/s²,39.28,204.28,-0.03°,-0.03,-0.033
 780s,474.36,-8.42m/s,-0.41m/s²,  -1.58m/s, 0.00m/s²,37.06,202.06, 0.02°,0.03,0.033
 790s,387.1,-9.35m/s,-0.41m/s²,  -1.58m/s, 0.00m/s²,34.84,199.84, 0.04°,0.03,0.034
 800s,297.03,-10.25m/s,-0.41m/s²,  -1.58m/s, 0.00m/s²,32.62,197.62,-0.05°,-0.04,-0.035
 810s,209.36,-7.90m/s,-0.41m/s²,  -1.58m/s, 0.00m/s²,30.4,195.4,-0.04°,-0.04,-0.036
 820s,121.39,-8.72m/s,-0.41m/s²,  -1.58m/s, 0.00m/s²,28.18,193.18, 0.02°,0.03,0.036
 830s,61.43,-2.94m/s,-0.41m/s²,  -1.58m/s, 0.00m/s²,25.96,190.96, 0.04°,0.04,0.037
 840s,23.34,-3.68m/s,-0.41m/s²,  -1.58m/s, 0.00m/s²,23.74,188.74, 0.05°,0.04,0.038
 845s,-1.03,-2.76m/s,-0.41m/s²,  -1.58m/s, 0.00m/s²,22.41,187.41,-0.03°,-0.04,-0.039
